sigla_uf,id_municipio,situacao,ano_atendimento,concessionaria,tecnologia,capacidade_backhaul,capacidade_ocupada,capacidade_disponivel
AC,1200054,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,2,0
AC,1200328,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,1,1
AC,1200435,Atendido,2011,BRASILTELECOM FILIAL/AC,Satélite,2,1,1
AM,1300102,Atendido,2018,TELEMAR/AM,Satélite,4,2,2
AM,1300607,Atendido,2011,TELEMAR/AM,Satélite,4,2,2
AM,1300706,Atendido,2013,TELEMAR/AM,Satélite,4,1,3
AM,1301407,Atendido,2013,TELEMAR/AM,Satélite,4,3,1
AM,1301506,Atendido,2012,TELEMAR/AM,Satélite,2,2,0
AM,1301605,Atendido,2013,TELEMAR/AM,Satélite,4,1,3
AM,1303007,Atendido,2011,TELEMAR/AM,Satélite,4,2,2
AM,1303205,Atendido,2013,TELEMAR/AM,Satélite,2,0.3,1.7
AM,1303502,Atendido,2013,TELEMAR/AM,Satélite,2,1,1
AM,1303908,Atendido,2013,TELEMAR/AM,Satélite,4,2,2
AM,1304005,Atendido,2013,TELEMAR/AM,Satélite,2,2,0
AM,1304260,Atendido,2011,TELEMAR/AM,Satélite,2,2,0
PA,1501576,Atendido,2013,TELEMAR/PA,Satélite,4,1,3
PA,1501758,Atendido,2012,TELEMAR/PA,Satélite,2,2,0
PA,1502939,Atendido,2008,TELEMAR/PA,Fibra,32,26,6
PA,1502954,Atendido,2014,TELEMAR/PA,Fibra,16,2,14
PA,1506401,Atendido,2011,TELEMAR/PA,Satélite,2,2,0
PA,1507458,Atendido,2013,TELEMAR/PA,Satélite,4,1,3
AP,1600055,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600154,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600212,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600238,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600535,Atendido,2009,TELEMAR/AP,Satélite,2,2,0
AP,1600709,Atendido,2013,TELEMAR/AP,Fibra,37,21,16
MA,2103406,Atendido,2010,TELEMAR/MA,Rádio,32,30,2
MA,2103505,Atendido,2009,TELEMAR/MA,Fibra,32,26,6
MA,2103703,Atendido,2009,TELEMAR/MA,Rádio,32,28,4
MA,2104073,Atendido,2011,TELEMAR/MA,Satélite,2,2,0
MA,2105401,Atendido,2008,TELEMAR/MA,Fibra,64,52,12
MA,2105708,Atendido,2009,TELEMAR/MA,Rádio,32,30,2
MA,2111573,Atendido,2011,TELEMAR/MA,Satélite,2,2,0
MA,2112704,Atendido,2008,TELEMAR/MA,Fibra,32,28,4
MA,2112803,Atendido,2009,TELEMAR/MA,Rádio,32,28,4
PI,2201200,Atendido,2008,TELEMAR/PI,Rádio,32,30,2
PI,2211100,Atendido,2010,TELEMAR/PI,Rádio,32,30,2
CE,2300200,Atendido,2008,TELEMAR/CE,Fibra,64,25,39
CE,2302206,Atendido,2008,TELEMAR/CE,Fibra,32,30,2
CE,2304707,Atendido,2008,TELEMAR/CE,Fibra,32,26,6
CE,2305209,Atendido,2009,TELEMAR/CE,Rádio,16,13,3
CE,2305803,Atendido,2009,TELEMAR/CE,Rádio,32,22,10
CE,2305902,Atendido,2009,TELEMAR/CE,Rádio,32,18,14
CE,2306553,Atendido,2008,TELEMAR/CE,Fibra,32,28,4
CE,2308104,Atendido,2009,TELEMAR/CE,Rádio,32,24,8
CE,2310506,Atendido,2008,TELEMAR/CE,Fibra,32,20,12
CE,2312205,Atendido,2009,TELEMAR/CE,Rádio,32,18,14
CE,2312304,Atendido,2009,TELEMAR/CE,Fibra,32,18,14
CE,2312403,Atendido,2008,TELEMAR/CE,Fibra,32,26,6
CE,2313302,Atendido,2009,TELEMAR/CE,Rádio,32,18,14
CE,2313500,Atendido,2008,TELEMAR/CE,Rádio,32,18,14
CE,2314003,Atendido,2008,TELEMAR/CE,Fibra,32,28,4
CE,2314102,Atendido,2009,TELEMAR/CE,Rádio,32,20,12
RN,2412203,Atendido,2008,TELEMAR/RN,Fibra,32,30,2
PB,2503704,Atendido,2009,TELEMAR/PB,Fibra,100,20,80
PE,2602100,Atendido,2009,TELEMAR/PE,Rádio,32,26,6
PE,2602605,Atendido,2008,TELEMAR/PE,Rádio,32,20,12
PE,2602803,Atendido,2008,TELEMAR/PE,Rádio,32,24,8
PE,2605459,Atendido,2011,TELEMAR/PE,Satélite,2,2,0
PE,2610608,Atendido,2008,TELEMAR/PE,Fibra,32,24,8
PE,2613008,Atendido,2009,TELEMAR/PE,Rádio,32,18,14
AL,2709301,Atendido,2008,TELEMAR/AL,Rádio,64,38,26
SE,2807105,Atendido,2008,TELEMAR/SE,Rádio,32,18,14
SE,2807402,Atendido,2008,TELEMAR/SE,Rádio,32,28,4
BA,2902906,Atendido,2008,TELEMAR/BA,Rádio,32,20,12
BA,2910503,Atendido,2008,TELEMAR/BA,Fibra,32,30,2
BA,2910701,Atendido,2009,TELEMAR/BA,Fibra,100,24,76
BA,2918456,Atendido,2011,TELEMAR/BA,Satélite,2,2,0
BA,2919801,Atendido,2010,TELEMAR/BA,Rádio,32,18,14
BA,2920452,Atendido,2011,TELEMAR/BA,Satélite,2,2,0
BA,2931905,Atendido,2009,TELEMAR/BA,Rádio,32,24,8
ES,3205101,Atendido,2008,TELEMAR/ES,Fibra,64,52,12
RJ,3304755,Atendido,2008,TELEMAR/RJ,Rádio,32,20,12
MT,5103106,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5103858,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5107578,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5107743,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5107792,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5107941,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
MT,5108907,Atendido,2011,BRASILTELECOM FILIAL/MT,Satélite,2,1,1
RO,1100015,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100023,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100031,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100049,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100056,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100064,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100072,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100080,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100098,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100106,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100114,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100122,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100130,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100148,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100155,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100189,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100205,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100254,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100262,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100288,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100296,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100304,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100320,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100338,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100346,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100379,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100403,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100452,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100502,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100601,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100809,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100908,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100924,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1100940,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101005,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101104,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101203,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101302,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101401,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101435,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101450,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101468,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101476,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101484,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101492,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101500,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101559,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101609,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101708,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101757,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
RO,1101807,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/RO,Não Informado,,,
AC,1200013,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200104,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200138,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200179,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200385,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200401,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200450,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200500,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AC,1200708,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/AC,Não Informado,,,
AM,1302603,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/AM,Não Informado,,,
PA,1501402,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PA,Não Informado,,,
PA,1502202,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PA,Não Informado,,,
PA,1502400,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PA,Não Informado,,,
TO,1700350,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1700400,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1700707,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1701002,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1701903,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702000,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702109,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702208,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702307,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702406,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1702554,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1703008,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1703107,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1703701,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1703909,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1705508,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1705557,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1706100,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1707009,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1707108,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1707553,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1707652,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1707702,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1708205,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1709005,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1709302,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1709500,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1710508,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1711902,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1713205,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1713304,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1714203,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1714880,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1715150,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1715754,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1716109,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1716505,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1716604,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1716703,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1717503,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1717909,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1718204,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1718402,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1720499,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1720655,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1720903,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1721000,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1721208,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1722081,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
TO,1722107,Infraestrutura existente antes do Decreto n° 6.424,,BRASILTELECOM FILIAL/GO,Não Informado,,,
MA,2100055,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/MA,Não Informado,,,
MA,2105302,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/MA,Não Informado,,,
MA,2109908,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/MA,Não Informado,,,
MA,2111201,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/MA,Não Informado,,,
MA,2111300,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/MA,Não Informado,,,
PI,2200400,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PI,Não Informado,,,
PI,2203909,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PI,Não Informado,,,
PI,2207702,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PI,Não Informado,,,
PI,2208007,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PI,Não Informado,,,
PI,2211001,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PI,Não Informado,,,
CE,2300309,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2301000,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2301109,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2301901,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2302404,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2302503,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2302602,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2303709,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2304202,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2304285,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2304400,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2305233,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2305407,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2305506,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2307304,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2307650,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2308500,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2311306,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2311405,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2311801,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
CE,2312908,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/CE,Não Informado,,,
RN,2402006,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2403251,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2405801,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2407104,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2408003,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2408102,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
RN,2412005,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/RN,Não Informado,,,
PB,2501807,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PB,2503209,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PB,2504009,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PB,2507507,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PB,2510808,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PB,2513703,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PB,Não Informado,,,
PE,2600054,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2601201,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2602902,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2603454,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2604007,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2604106,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2606002,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2607208,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2607901,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2609600,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2610707,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2611101,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2611606,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2612208,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2612505,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2613701,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2613909,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
PE,2616407,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/PE,Não Informado,,,
AL,2700300,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/AL,Não Informado,,,
AL,2704302,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/AL,Não Informado,,,
AL,2706703,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/AL,Não Informado,,,
AL,2709400,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/AL,Não Informado,,,
SE,2800308,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
SE,2800605,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
SE,2802106,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
SE,2802908,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
SE,2803500,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
SE,2806701,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/SE,Não Informado,,,
BA,2900702,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2901106,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2903201,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2905701,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2906501,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2907509,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2908200,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2908408,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2909802,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2910727,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2910800,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2911709,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2913606,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2914802,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
BA,2915601,Infraestrutura existente antes do Decreto n° 6.424,,TELEMAR/BA,Não Informado,,,
