Municípios;id;Ano;Bloco Educação\Ensino Fundamental\Anos Finais EF\Índice;Bloco Educação\Ensino Fundamental\Anos Iniciais EF\Índice;Bloco Educação\Ensino Fundamental\Índice;Bloco Educação\Ensino Médio\Índice;Bloco Educação\Escolaridade Adulta\Índice;Bloco Educação\Pré Escola\Índice;Bloco Educação\Índice;Bloco Renda\Apropriação da Renda\Índice;Bloco Renda\Geração da Renda\Índice;Bloco Renda\Índice;Bloco Saúde\Condições Gerais de Saúde\Mortes por Causas Evitáveis\Índice;Bloco Saúde\Condições Gerais de Saúde\Índice;Bloco Saúde\Condições Gerais de Saúde\Óbitos por Causas Mal Definidas\Índice;Bloco Saúde\Longevidade\Índice;Bloco Saúde\Saúde Materno Infantil\Consultas Pré Natal\Índice;Bloco Saúde\Saúde Materno Infantil\Mortalidade de Menores de 5 anos\Índice;Bloco Saúde\Saúde Materno Infantil\Índice;Bloco Saúde\Índice;Idese
Tupanci do Sul;43221860;2015;0.675839088576;0.75929946426093;0.717569276418465;0.736175548589342;0.447569083104658;1.0;0.725328477028116;0.566520905626906;0.62377844738923;0.595149676508068;0.695759482889099;0.832364151984694;0.968968821080288;0.93103889664493;0.88226542202888;0.961671485136789;0.921968453582835;0.89512383407082;0.738533995869001
Tupanci do Sul;43221860;2016;0.675839;0.759299;0.717569;0.743777;0.451139;1.0;0.728121;0.594707;0.65543;0.625069;0.695794;0.826718;0.957643;0.945708;0.871867;0.896662;0.884264;0.885564;0.746251112
Tupanci do Sul;43221860;2017;0.84068266666667;0.86155867314365;0.85112066990516;0.71087936163613;0.45612293223891;1.0;0.75453074094505;0.60993412711037;0.64346914703572;0.62670163707304;0.62012313636011;0.7930047334523;0.9658863305445;0.94542127431082;0.89215779643195;0.91368781840181;0.90292280741688;0.88044960506;0.75389399435936
Tupanci do Sul;43221860;2018;0.84068266666667;0.86155867314365;0.85112066990516;0.68620130347753;0.46291606422106;0.92852804140602;0.73219151975244;0.62657076458673;0.66998445987079;0.64827761222876;0.6625935029275;0.81135358240117;0.96011366187484;0.94863271590965;0.89276658039892;0.94191411106182;0.91734034573037;0.8924422146804;0.75763711555387
Tupanci do Sul;43221860;2019;0.822186624;0.848272512;0.835229568;0.73741298869136;0.47190248252691;1.0;0.76113625980457;0.65781592052198;0.68822510505711;0.67302051278954;0.68332343814872;0.82847276567651;0.97362209320429;0.95354067435794;0.90564848432457;0.98848758223525;0.94706803327991;0.90969382443812;0.78128353234408
Tupanci do Sul;43221860;2020;0.822186624;0.848272512;0.835229568;0.78486310013831;0.48185810303039;1.0;0.77548769279218;0.63681479085434;0.68457893906326;0.6606968649588;0.754687605724;0.86439854791542;0.97410949010684;0.9835545047098;0.90060694370291;0.98650838561354;0.94355766465823;0.93050357242782;0.78889604339293
Tupanci do Sul;43221860;2021;0.99603210994812;0.720319616;0.85817586297406;0.88096197685759;0.48530520180933;1.0;0.80611076041025;0.61979673287796;0.78339920824013;0.70159797055905;0.68059442691952;0.82592497525716;0.9712555235948;0.92840267925293;0.89106236699951;0.97809480463031;0.93457858581491;0.89630208010833;0.80133693702587
Tupanciretã;43222020;2007;0.612437333333334;0.615605385149202;0.614021359241268;0.887502902472973;0.433929679291767;0.318903318903319;0.563589314977332;0.533872576379855;0.711303660112902;0.622588118246379;0.59125461664906;0.637018309700848;0.682782002752636;0.794251169719113;0.678514906434685;0.855085601860491;0.766800254147588;0.732689911189183;0.639622448137631
Tupanciretã;43222020;2008;0.612437333333334;0.615605385149202;0.614021359241268;0.900482627291786;0.444754668687897;0.292929292929293;0.563046987037561;0.557809802266501;0.767061875049663;0.662435838658082;0.631053814138206;0.636437739525947;0.641821664913689;0.823225643179069;0.643763598046855;0.903134943641183;0.773449270844019;0.744370884516345;0.656617903403996
Tupanciretã;43222020;2009;0.654592;0.694850975711311;0.674721487855656;0.840750096288282;0.45667896566062;0.318181818181818;0.572583091996594;0.572948800321347;0.759935213066661;0.666442006694004;0.616562697974955;0.652454059660426;0.688345421345897;0.807221599880832;0.622170879393535;0.868006640472145;0.74508875993284;0.734921473158033;0.65798219061621
