"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"430045","ALEGRIA","RS","2008","352","","352632,00","","1001,80",""
"430045","ALEGRIA","RS","2007","385","","320319","","832,00",""
"430045","ALEGRIA","RS","2009","350","","394083,00","","1125,95",""
"430045","ALEGRIA","RS","2015","291","","488198","","1677,66",""
"430045","ALEGRIA","RS","2011","360","","431448,00","","1198,47",""
"430045","ALEGRIA","RS","2020","220","","132666,00","","603,03",""
"430045","ALEGRIA","RS","2019","212","","436673,00","","2059,78",""
"430045","ALEGRIA","RS","2021","228","","262709","","1152,23",""
"430045","ALEGRIA","RS","2013","315","","500298","","1588,25",""
"430045","ALEGRIA","RS","2014","319","","526983","","1651,98",""
"430045","ALEGRIA","RS","2018","215","","409231","","1903,40",""
"430045","ALEGRIA","RS","2017","220","","408141","","1855,19",""
"430045","ALEGRIA","RS","2016","248","","449280,00","","1811,61",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2010","89","","93296,00","","1048,27",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2017","46","","86187","","1873,63",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2015","69","","115262","","1670,46",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2018","41","","78055","","1903,78",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2008","86","","80968,00","","941,49",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2016","50","","104515,00","","2090,30",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2009","91","","90039,00","","989,44",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2020","37","","23487,00","","634,78",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2012","81","","119772","","1478,67",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2019","32","","70967,00","","2217,72",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2013","77","","117082","","1520,55",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2014","77","","123095","","1598,64",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2007","92","","76803","","834,82",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2011","86","","105317,00","","1224,62",""
"430047","ALMIRANTE TAMANDARÉ DO SUL","RS","2021","42","","36737","","874,69",""
"430050","ALPESTRE","RS","2011","349","","464232,00","","1330,18",""
"430050","ALPESTRE","RS","2007","654","","532861","","814,77",""
"430050","ALPESTRE","RS","2010","374","","421031,00","","1125,75",""
"430050","ALPESTRE","RS","2018","212","","328356","","1548,85",""
"430050","ALPESTRE","RS","2017","228","","344597","","1511,39",""
"430050","ALPESTRE","RS","2013","358","","527912","","1474,61",""
"430050","ALPESTRE","RS","2014","364","","528229","","1451,18",""
"430050","ALPESTRE","RS","2008","508","","531956,00","","1047,16",""
"430050","ALPESTRE","RS","2012","375","","536702","","1431,21",""
"430050","ALPESTRE","RS","2015","338","","502978","","1488,10",""
"430050","ALPESTRE","RS","2016","279","","480375,00","","1721,77",""
"430050","ALPESTRE","RS","2020","201","","98267,00","","488,89",""
"430050","ALPESTRE","RS","2021","203","","142214","","700,56",""
"430050","ALPESTRE","RS","2009","365","","480279,00","","1315,83",""
"430050","ALPESTRE","RS","2019","174","","291971,00","","1677,99",""
"430055","ALTO ALEGRE","RS","2012","110","","143242","","1302,20",""
"430055","ALTO ALEGRE","RS","2014","99","","160163","","1617,81",""
"430055","ALTO ALEGRE","RS","2008","97","","81110,00","","836,19",""
"430055","ALTO ALEGRE","RS","2010","109","","116250,00","","1066,51",""
"430055","ALTO ALEGRE","RS","2011","104","","129224,00","","1242,54",""
"430055","ALTO ALEGRE","RS","2013","97","","152734","","1574,58",""
"430055","ALTO ALEGRE","RS","2015","89","","150934","","1695,89",""
"430055","ALTO ALEGRE","RS","2021","82","","72190","","880,37",""
"430055","ALTO ALEGRE","RS","2009","110","","93194,00","","847,22",""
"430055","ALTO ALEGRE","RS","2020","67","","35536,00","","530,39",""
"430055","ALTO ALEGRE","RS","2017","67","","122803","","1832,88",""
"430055","ALTO ALEGRE","RS","2016","81","","144077,00","","1778,73",""
"430055","ALTO ALEGRE","RS","2007","107","","73265","","684,72",""
"430055","ALTO ALEGRE","RS","2018","63","","119064","","1889,90",""
"430055","ALTO ALEGRE","RS","2019","60","","119392,00","","1989,87",""
"430057","ALTO FELIZ","RS","2019","8","","17766,00","","2220,75",""
"430057","ALTO FELIZ","RS","2011","5","","5448,00","","1089,60",""
"430057","ALTO FELIZ","RS","2009","17","","16064,00","","944,94",""
"430057","ALTO FELIZ","RS","2013","3","","8818","","2939,33",""
"430057","ALTO FELIZ","RS","2014","7","","4759","","679,86",""
"430057","ALTO FELIZ","RS","2015","5","","6915","","1383,00",""
"430057","ALTO FELIZ","RS","2016","9","","7434,00","","826,00",""
"430057","ALTO FELIZ","RS","2017","13","","13069","","1005,31",""
"430057","ALTO FELIZ","RS","2018","13","","23639","","1818,38",""
"430057","ALTO FELIZ","RS","2020","15","","7391,00","","492,73",""
"430057","ALTO FELIZ","RS","2010","12","","14626,00","","1218,83",""
"430057","ALTO FELIZ","RS","2007","17","","6781","","398,88",""
"430057","ALTO FELIZ","RS","2021","16","","14659","","916,19",""
"430057","ALTO FELIZ","RS","2012","7","","8310","","1187,14",""
"430057","ALTO FELIZ","RS","2008","21","","9798,00","","466,57",""
"430060","ALVORADA","RS","2016","7942","","14896645,00","","1875,68",""
"430060","ALVORADA","RS","2017","7021","","13547614","","1929,58",""
"430060","ALVORADA","RS","2018","6599","","12945228","","1961,70",""
"430060","ALVORADA","RS","2019","5807","","12554444,00","","2161,95",""
"430060","ALVORADA","RS","2020","6956","","4488664,00","","645,29",""
"430060","ALVORADA","RS","2021","7968","","7999623","","1003,97",""
"430060","ALVORADA","RS","2008","6191","","6201802,00","","1001,74",""
"430060","ALVORADA","RS","2013","8224","","13485730","","1639,80",""
"430060","ALVORADA","RS","2014","8096","","15562910","","1922,30",""
"430060","ALVORADA","RS","2015","8694","","15778998","","1814,93",""
"430060","ALVORADA","RS","2010","6866","","7716266,00","","1123,84",""
"430060","ALVORADA","RS","2011","6560","","8929286,00","","1361,17",""
"430060","ALVORADA","RS","2007","6918","","5203745","","752,20",""
"430060","ALVORADA","RS","2009","7634","","7631433,00","","999,66",""
"430060","ALVORADA","RS","2012","7371","","11106386","","1506,77",""
"430063","AMARAL FERRADOR","RS","2007","327","","233476","","713,99",""
"430063","AMARAL FERRADOR","RS","2010","429","","439951,00","","1025,53",""
"430063","AMARAL FERRADOR","RS","2009","425","","391035,00","","920,08",""
"430063","AMARAL FERRADOR","RS","2008","374","","325202,00","","869,52",""
"430063","AMARAL FERRADOR","RS","2014","463","","790472","","1707,28",""
"430063","AMARAL FERRADOR","RS","2015","510","","836976","","1641,13",""
"430063","AMARAL FERRADOR","RS","2020","430","","228247,00","","530,81",""
"430063","AMARAL FERRADOR","RS","2016","477","","901091,00","","1889,08",""
"430063","AMARAL FERRADOR","RS","2017","492","","862454","","1752,96",""
"430063","AMARAL FERRADOR","RS","2018","472","","925394","","1960,58",""
"430063","AMARAL FERRADOR","RS","2019","420","","869254,00","","2069,65",""
"430063","AMARAL FERRADOR","RS","2021","435","","375377","","862,94",""
"430063","AMARAL FERRADOR","RS","2013","476","","682946","","1434,76",""
"430063","AMARAL FERRADOR","RS","2011","403","","491779,00","","1220,30",""
"430063","AMARAL FERRADOR","RS","2012","413","","554496","","1342,61",""
"430064","AMETISTA DO SUL","RS","2012","873","","1157460","","1325,84",""
"430064","AMETISTA DO SUL","RS","2009","726","","586036,00","","807,21",""
"430064","AMETISTA DO SUL","RS","2011","863","","1022840,00","","1185,21",""
"430064","AMETISTA DO SUL","RS","2008","456","","428358,00","","939,38",""
"430064","AMETISTA DO SUL","RS","2010","826","","835689,00","","1011,73",""
"430064","AMETISTA DO SUL","RS","2007","536","","368122","","686,79",""
"430064","AMETISTA DO SUL","RS","2014","760","","1220891","","1606,44",""
"430064","AMETISTA DO SUL","RS","2013","817","","1166148","","1427,35",""
"430064","AMETISTA DO SUL","RS","2015","672","","1164743","","1733,25",""
"430064","AMETISTA DO SUL","RS","2016","544","","966762,00","","1777,14",""
"430064","AMETISTA DO SUL","RS","2017","453","","738140","","1629,45",""
"430064","AMETISTA DO SUL","RS","2021","450","","367244","","816,10",""
"430064","AMETISTA DO SUL","RS","2018","409","","653300","","1597,31",""
"430064","AMETISTA DO SUL","RS","2019","374","","652694,00","","1745,17",""
"430064","AMETISTA DO SUL","RS","2020","425","","222266,00","","522,98",""
"430066","ANDRÉ DA ROCHA","RS","2016","55","","120378,00","","2188,69",""
"430066","ANDRÉ DA ROCHA","RS","2021","47","","51119","","1087,64",""
"430066","ANDRÉ DA ROCHA","RS","2013","58","","83988","","1448,07",""
"430066","ANDRÉ DA ROCHA","RS","2015","62","","117528","","1895,61",""
"430066","ANDRÉ DA ROCHA","RS","2014","64","","107201","","1675,02",""
"430066","ANDRÉ DA ROCHA","RS","2011","40","","37982,00","","949,55",""
"430066","ANDRÉ DA ROCHA","RS","2012","37","","42234","","1141,46",""
"430066","ANDRÉ DA ROCHA","RS","2017","45","","114998","","2555,51",""
"430066","ANDRÉ DA ROCHA","RS","2020","46","","40540,00","","881,30",""
"430066","ANDRÉ DA ROCHA","RS","2007","35","","16055","","458,71",""
"430066","ANDRÉ DA ROCHA","RS","2019","44","","111824,00","","2541,45",""
"430066","ANDRÉ DA ROCHA","RS","2008","32","","22456,00","","701,75",""
"430066","ANDRÉ DA ROCHA","RS","2018","47","","117805","","2506,49",""
"430066","ANDRÉ DA ROCHA","RS","2010","34","","28269,00","","831,44",""
"430066","ANDRÉ DA ROCHA","RS","2009","40","","30082,00","","752,05",""
"430070","ANTA GORDA","RS","2011","113","","135292,00","","1197,27",""
"430070","ANTA GORDA","RS","2009","141","","117478,00","","833,18",""
"430070","ANTA GORDA","RS","2012","107","","156764","","1465,08",""
"430070","ANTA GORDA","RS","2007","103","","88333","","857,60",""
"430070","ANTA GORDA","RS","2008","120","","92874,00","","773,95",""
"430070","ANTA GORDA","RS","2018","27","","43030","","1593,70",""
