Dependente;Independente;Modelo;Grupo;R2 medio;Desvio R2;MSE medio;Desvio MSE;Tempo
Total de beneficiarios;Idese;Regressão linear;0;-0.06361090855206324;0.061625690749422354;0.016915559482614206;0.0035165570565134805;0.008350849151611328
Total de beneficiarios;Idese;XGBoost;0;-0.17996370792388916;0.05048514029791073;0.0187831724062562;0.0037039738098208147;0.1313774585723877
Total de beneficiarios;Idese;Light GBM;0;-0.1569507620004357;0.09565083578361482;0.018458447438664528;0.004365026057210813;0.07511472702026367
Total de beneficiarios;Idese;MLP;0;-0.052880263328552245;0.05068936700306445;0.016755624674260616;0.003470739352403564;15.98465609550476
