1998;RONDÔNIA;Cédulas - 1a. família;50,00;6,00
1998;RONDÔNIA;Cédulas - 1a. família;100,00;4,00
1998;SANTA CATARINA;Cédulas - 1a. família;5,00;32,00
1998;SANTA CATARINA;Cédulas - 1a. família;10,00;1.016,00
1998;SANTA CATARINA;Cédulas - 1a. família;50,00;791,00
1998;SANTA CATARINA;Cédulas - 1a. família;100,00;347,00
1998;SÃO PAULO;Cédulas - 1a. família;5,00;9,00
1998;SÃO PAULO;Cédulas - 1a. família;10,00;35,00
1998;SÃO PAULO;Cédulas - 1a. família;50,00;210,00
1998;SÃO PAULO;Cédulas - 1a. família;100,00;56,00
1998;TOCANTINS;Cédulas - 1a. família;50,00;11,00
1998;TOCANTINS;Cédulas - 1a. família;100,00;6,00
1999;ACRE;Cédulas - 1a. família;10,00;10,00
1999;ACRE;Cédulas - 1a. família;50,00;49,00
1999;ACRE;Cédulas - 1a. família;100,00;2,00
1999;ALAGOAS;Cédulas - 1a. família;5,00;11,00
1999;ALAGOAS;Cédulas - 1a. família;10,00;67,00
1999;ALAGOAS;Cédulas - 1a. família;50,00;105,00
1999;ALAGOAS;Cédulas - 1a. família;100,00;3,00
1999;AMAPÁ;Cédulas - 1a. família;10,00;46,00
1999;AMAPÁ;Cédulas - 1a. família;50,00;5,00
1999;AMAZONAS;Cédulas - 1a. família;5,00;5,00
1999;AMAZONAS;Cédulas - 1a. família;10,00;41,00
1999;AMAZONAS;Cédulas - 1a. família;50,00;136,00
1999;AMAZONAS;Cédulas - 1a. família;100,00;121,00
1999;BAHIA;Cédulas - 1a. família;5,00;83,00
1999;BAHIA;Cédulas - 1a. família;10,00;570,00
1999;BAHIA;Cédulas - 1a. família;50,00;164,00
1999;BAHIA;Cédulas - 1a. família;100,00;8,00
1999;CEARÁ;Cédulas - 1a. família;5,00;45,00
1999;CEARÁ;Cédulas - 1a. família;10,00;90,00
1999;CEARÁ;Cédulas - 1a. família;50,00;136,00
1999;CEARÁ;Cédulas - 1a. família;100,00;9,00
1999;DISTRITO FEDERAL;Cédulas - 1a. família;5,00;68,00
1999;DISTRITO FEDERAL;Cédulas - 1a. família;10,00;113,00
1999;DISTRITO FEDERAL;Cédulas - 1a. família;50,00;4.505,00
1999;DISTRITO FEDERAL;Cédulas - 1a. família;100,00;827,00
1999;ESPÍRITO SANTO;Cédulas - 1a. família;5,00;18,00
1999;ESPÍRITO SANTO;Cédulas - 1a. família;10,00;252,00
1999;ESPÍRITO SANTO;Cédulas - 1a. família;50,00;582,00
1999;ESPÍRITO SANTO;Cédulas - 1a. família;100,00;9,00
1999;GOIÁS;Cédulas - 1a. família;5,00;59,00
1999;GOIÁS;Cédulas - 1a. família;10,00;549,00
1999;GOIÁS;Cédulas - 1a. família;50,00;212,00
1999;GOIÁS;Cédulas - 1a. família;100,00;11,00
1999;MARANHÃO;Cédulas - 1a. família;5,00;4,00
1999;MARANHÃO;Cédulas - 1a. família;10,00;63,00
1999;MARANHÃO;Cédulas - 1a. família;50,00;69,00
1999;MARANHÃO;Cédulas - 1a. família;100,00;1,00
1999;MATO GROSSO;Cédulas - 1a. família;5,00;4,00
1999;MATO GROSSO;Cédulas - 1a. família;10,00;94,00
1999;MATO GROSSO;Cédulas - 1a. família;50,00;126,00
1999;MATO GROSSO;Cédulas - 1a. família;100,00;13,00
1999;MATO GROSSO DO SUL;Cédulas - 1a. família;5,00;2,00
1999;MATO GROSSO DO SUL;Cédulas - 1a. família;10,00;501,00
1999;MATO GROSSO DO SUL;Cédulas - 1a. família;50,00;1.014,00
1999;MATO GROSSO DO SUL;Cédulas - 1a. família;100,00;33,00
1999;MINAS GERAIS;Cédulas - 1a. família;1,00;11,00
1999;MINAS GERAIS;Cédulas - 1a. família;5,00;79,00
1999;MINAS GERAIS;Cédulas - 1a. família;10,00;800,00
1999;MINAS GERAIS;Cédulas - 1a. família;50,00;740,00
1999;MINAS GERAIS;Cédulas - 1a. família;100,00;30,00
1999;PARÁ;Cédulas - 1a. família;5,00;1,00
1999;PARÁ;Cédulas - 1a. família;10,00;103,00
1999;PARÁ;Cédulas - 1a. família;50,00;85,00
1999;PARÁ;Cédulas - 1a. família;100,00;8,00
1999;PARAÍBA;Cédulas - 1a. família;5,00;14,00
1999;PARAÍBA;Cédulas - 1a. família;10,00;16,00
1999;PARAÍBA;Cédulas - 1a. família;50,00;49,00
1999;PARAÍBA;Cédulas - 1a. família;100,00;1,00
1999;PARANÁ;Cédulas - 1a. família;5,00;41,00
1999;PARANÁ;Cédulas - 1a. família;10,00;225,00
1999;PARANÁ;Cédulas - 1a. família;50,00;444,00
1999;PARANÁ;Cédulas - 1a. família;100,00;74,00
1999;PERNAMBUCO;Cédulas - 1a. família;1,00;4,00
1999;PERNAMBUCO;Cédulas - 1a. família;5,00;34,00
1999;PERNAMBUCO;Cédulas - 1a. família;10,00;328,00
