id,ano,total_pago,media_pago,total_beneficiarios,media_beneficiarios
4300604,2013,13485730.0,1123810.8333333333,87565,7297.083333333333
4300604,2014,15562448.0,1296870.6666666667,95512,7959.333333333333
4300604,2015,15778998.0,1314916.5,95939,7994.916666666667
4300604,2016,14896645.0,1241387.0833333333,95164,7930.333333333333
4300604,2017,13547614.0,1128967.8333333333,86537,7211.416666666667
4300604,2018,12945228.0,1078769.0,82944,6912.0
4300604,2019,12554444.0,1046203.6666666666,75855,6321.25
4300604,2020,13804923.0,1150410.25,81115,6759.583333333333
4300604,2021,12842471.0,1284247.1,74983,7498.3
4300638,2013,682946.0,56912.166666666664,4945,412.0833333333333
4300638,2014,790472.0,65872.66666666667,5547,462.25
4300638,2015,836976.0,69748.0,5603,466.9166666666667
4300638,2016,901091.0,75090.91666666667,5915,492.9166666666667
4300638,2017,862454.0,71871.16666666667,5622,468.5
4300638,2018,925394.0,77116.16666666667,5846,487.1666666666667
4300638,2019,869254.0,72437.83333333333,5301,441.75
4300638,2020,850988.0,70915.66666666667,5103,425.25
4300638,2021,687715.0,68771.5,4325,432.5
4300646,2013,1166148.0,97179.0,9321,776.75
4300646,2014,1220968.0,101747.33333333333,9018,751.5
4300646,2015,1164743.0,97061.91666666667,8353,696.0833333333334
4300646,2016,966762.0,80563.5,7246,603.8333333333334
4300646,2017,738140.0,61511.666666666664,5764,480.3333333333333
4300646,2018,653300.0,54441.666666666664,5203,433.5833333333333
4300646,2019,652694.0,54391.166666666664,4869,405.75
4300646,2020,723543.0,60295.25,5059,421.5833333333333
4300646,2021,627060.0,62706.0,4455,445.5
4300661,2013,83988.0,6999.0,605,50.416666666666664
4300661,2014,107201.0,8933.416666666666,720,60.0
4300661,2015,117528.0,9794.0,724,60.333333333333336
4300661,2016,120378.0,10031.5,669,55.75
4300661,2017,114998.0,9583.166666666666,588,49.0
4300661,2018,117805.0,9817.083333333334,571,47.583333333333336
4300661,2019,111824.0,9318.666666666666,532,44.333333333333336
4300661,2020,109787.0,9148.916666666666,551,45.916666666666664
4300661,2021,87154.0,8715.4,465,46.5
4300703,2013,144258.0,12021.5,1038,86.5
4300703,2014,134402.0,11200.166666666666,993,82.75
4300703,2015,114514.0,9542.833333333334,804,67.0
4300703,2016,87092.0,7257.666666666667,627,52.25
4300703,2017,50914.0,4242.833333333333,402,33.5
4300703,2018,43030.0,3585.8333333333335,329,27.416666666666668
4300703,2019,34902.0,2908.5,272,22.666666666666668
4300703,2020,52627.0,4385.583333333333,311,25.916666666666668
4300703,2021,39211.0,3921.1,268,26.8
4300802,2013,229524.0,19127.0,1484,123.66666666666667
4300802,2014,294785.0,24565.416666666668,1807,150.58333333333334
4300802,2015,322972.0,26914.333333333332,2107,175.58333333333334
4300802,2016,364769.0,30397.416666666668,2353,196.08333333333334
4300802,2017,363321.0,30276.75,2270,189.16666666666666
4300802,2018,434569.0,36214.083333333336,2703,225.25
4300802,2019,442404.0,36867.0,2659,221.58333333333334
4300802,2020,498870.0,41572.5,2817,234.75
4300802,2021,421173.0,42117.3,2376,237.6
4300851,2013,405282.0,33773.5,2928,244.0
4300851,2014,442245.0,36853.75,3151,262.5833333333333
4300851,2015,452147.0,37678.916666666664,3147,262.25
4300851,2016,489899.0,40824.916666666664,3369,280.75
4300851,2017,421084.0,35090.333333333336,2841,236.75
4300851,2018,431949.0,35995.75,2937,244.75
4300851,2019,433605.0,36133.75,2936,244.66666666666666
4300851,2020,441241.0,36770.083333333336,2963,246.91666666666666
4300851,2021,394445.0,39444.5,2742,274.2
4300877,2013,991468.0,82622.33333333333,4999,416.5833333333333
4300877,2014,1030535.0,85877.91666666667,4550,379.1666666666667
4300877,2015,835732.0,69644.33333333333,3811,317.5833333333333
4300877,2016,562300.0,46858.333333333336,2692,224.33333333333334
4300877,2017,503304.0,41942.0,2748,229.0
4300877,2018,570428.0,47535.666666666664,2926,243.83333333333334
4300877,2019,450460.0,37538.333333333336,2225,185.41666666666666
4300877,2020,500311.0,41692.583333333336,2386,198.83333333333334
4300877,2021,433168.0,43316.8,2105,210.5
4300901,2013,187132.0,15594.333333333334,1520,126.66666666666667
4300901,2014,172898.0,14408.166666666666,1379,114.91666666666667
4300901,2015,154756.0,12896.333333333334,1182,98.5
4300901,2016,130328.0,10860.666666666666,944,78.66666666666667
4300901,2017,127930.0,10660.833333333334,906,75.5
4300901,2018,114233.0,9519.416666666666,786,65.5
4300901,2019,106460.0,8871.666666666666,701,58.416666666666664
4300901,2020,118274.0,9856.166666666666,724,60.333333333333336
4300901,2021,113211.0,11321.1,670,67.0
4301008,2013,336758.0,28063.166666666668,2692,224.33333333333334
4301008,2014,267190.0,22265.833333333332,2146,178.83333333333334
4301008,2015,269923.0,22493.583333333332,2066,172.16666666666666
4301008,2016,285401.0,23783.416666666668,2072,172.66666666666666
4301008,2017,295004.0,24583.666666666668,1930,160.83333333333334
4301008,2018,271956.0,22663.0,1657,138.08333333333334
4301008,2019,266624.0,22218.666666666668,1562,130.16666666666666
4301008,2020,378800.0,31566.666666666668,2127,177.25
4301008,2021,335986.0,33598.6,1940,194.0
4301057,2013,401982.0,33498.5,3072,256.0
4301057,2014,425338.0,35444.833333333336,3028,252.33333333333334
4301057,2015,503463.0,41955.25,3177,264.75
4301057,2016,627828.0,52319.0,3638,303.1666666666667
4301057,2017,657790.0,54815.833333333336,3530,294.1666666666667
4301057,2018,794133.0,66177.75,3898,324.8333333333333
4301057,2019,759780.0,63315.0,3625,302.0833333333333
4301057,2020,828719.0,69059.91666666667,4023,335.25
