id,ano,total_pago,media_pago,total_beneficiarios,media_beneficiarios
4301875,2021,127889.0,63944.5,593,296.5
4301875,2022,1528378.0,127364.83333333333,4595,382.9166666666667
4301875,2023,342326.0,171163.0,836,418.0
4301909,2021,252710.0,126355.0,1200,600.0
4301909,2022,2501386.0,208448.83333333334,7796,649.6666666666666
4301909,2023,540162.0,270081.0,1345,672.5
4301925,2021,4043.0,2021.5,24,12.0
4301925,2022,52477.0,4373.083333333333,173,14.416666666666666
4301925,2023,13644.0,6822.0,32,16.0
4301958,2021,4600.0,2300.0,23,11.5
4301958,2022,78799.0,6566.583333333333,266,22.166666666666668
4301958,2023,17513.0,8756.5,47,23.5
4302006,2021,159280.0,79640.0,943,471.5
4302006,2022,1771089.0,147590.75,6148,512.3333333333334
4302006,2023,408082.0,204041.0,1028,514.0
4302055,2021,161591.0,80795.5,654,327.0
4302055,2022,1650437.0,137536.41666666666,4839,403.25
4302055,2023,402166.0,201083.0,993,496.5
4302105,2021,565068.0,282534.0,2609,1304.5
4302105,2022,6253360.0,521113.3333333333,18154,1512.8333333333333
4302105,2023,1426509.0,713254.5,3116,1558.0
4302154,2021,36715.0,18357.5,185,92.5
4302154,2022,433219.0,36101.583333333336,1409,117.41666666666667
4302154,2023,102770.0,51385.0,260,130.0
4302204,2021,28255.0,14127.5,138,69.0
4302204,2022,355065.0,29588.75,1061,88.41666666666667
4302204,2023,85821.0,42910.5,194,97.0
4302220,2021,24290.0,12145.0,117,58.5
4302220,2022,264083.0,22006.916666666668,824,68.66666666666667
4302220,2023,63826.0,31913.0,153,76.5
4302238,2021,52529.0,26264.5,238,119.0
4302238,2022,528084.0,44007.0,1605,133.75
4302238,2023,128222.0,64111.0,305,152.5
4302253,2021,2692.0,1346.0,14,7.0
4302253,2022,34190.0,2849.1666666666665,105,8.75
4302253,2023,10480.0,5240.0,24,12.0
4302303,2021,498794.0,249397.0,1945,972.5
4302303,2022,5109180.0,425765.0,14191,1182.5833333333333
4302303,2023,1151045.0,575522.5,2704,1352.0
4302352,2021,29889.0,14944.5,147,73.5
4302352,2022,344090.0,28674.166666666668,1015,84.58333333333333
4302352,2023,80370.0,40185.0,179,89.5
4302378,2021,103442.0,51721.0,429,214.5
4302378,2022,1082271.0,90189.25,3215,267.9166666666667
4302378,2023,258244.0,129122.0,608,304.0
4302402,2021,140684.0,70342.0,609,304.5
4302402,2022,1432717.0,119393.08333333333,4197,349.75
4302402,2023,324032.0,162016.0,736,368.0
4302451,2021,133802.0,66901.0,697,348.5
4302451,2022,1526066.0,127172.16666666667,4848,404.0
4302451,2023,355118.0,177559.0,855,427.5
4302501,2021,69787.0,34893.5,470,235.0
4302501,2022,1182227.0,98518.91666666667,4008,334.0
4302501,2023,315874.0,157937.0,789,394.5
4302584,2021,21604.0,10802.0,94,47.0
4302584,2022,202251.0,16854.25,643,53.583333333333336
