id;ano;total_pago;media_pago;total_beneficiarios;media_beneficiarios;Bloco EducaÃ§Ã£o;Bloco EducaÃ§Ã£o\Ensino Fundamental;Bloco EducaÃ§Ã£o\Ensino Fundamental\Anos Finais;Bloco EducaÃ§Ã£o\Ensino Fundamental\Anos Iniciais;Bloco EducaÃ§Ã£o\Ensino MÃ©dio;Bloco EducaÃ§Ã£o\Escolaridade Adulta;Bloco EducaÃ§Ã£o\PrÃ© Escola;Bloco Renda;Bloco Renda\ApropriaÃ§Ã£o da Renda;Bloco Renda\GeraÃ§Ã£o da Renda;Bloco SaÃºde;Bloco SaÃºde\CondiÃ§Ãµes Gerais de SaÃºde;Bloco SaÃºde\CondiÃ§Ãµes Gerais de SaÃºde\Ãbitos por Causas EvitÃ¡veis;Bloco SaÃºde\CondiÃ§Ãµes Gerais de SaÃºde\Ãbitos por Causas Mal Definidas;Bloco SaÃºde\Longevidade;Bloco SaÃºde\SaÃºde Materno Infantil;Bloco SaÃºde\SaÃºde Materno Infantil\Consultas PrÃ© Natal;Bloco SaÃºde\SaÃºde Materno Infantil\Mortalidade de Menores de 5 anos;Idese;PopulaÃ§Ã£o
4300034;2013;574180.0;47848.333333333336;4146;345.5;0.652644642905022;0.6511581627328;0.5725633654656;0.72975296;0.566723324526272;0.392697084361018;1.0;0.707083328948004;0.595217962158429;0.818948695737578;0.795089209339738;0.72185962285782;0.510570310381913;0.933148935333726;0.831299368342791;0.832108636818605;0.742811716260536;0.921405557376675;0.718272393730922;4520.0
4300034;2014;565578.0;47131.5;4287;357.25;0.615036962834088;0.6511581627328;0.5725633654656;0.72975296;0.519283561075532;0.398468022112743;0.891238105415277;0.719342424776231;0.599343697126092;0.83934115242637;0.84123884159846;0.795574656874311;0.642231647668596;0.948917666080027;0.910121651098933;0.818020216822135;0.732313857592383;0.903726576051887;0.725206076402926;4564.0
4300034;2015;457636.0;38136.333333333336;3421;285.0833333333333;0.655287954689037;0.713861566933931;0.6266814572544;0.801041676613463;0.508521555520288;0.402688982678986;0.996079713622941;0.729946783914903;0.61030030596692;0.849593261862886;0.841222864924684;0.776478578825336;0.59669848745705;0.956258670193621;0.915375879936267;0.83181413601245;0.76313743098856;0.90049084103634;0.742152534509541;4483.0
4300034;2016;412060.0;34338.333333333336;2969;247.41666666666663;0.640680578658518;0.713861566933931;0.6266814572544;0.801041676613463;0.489173334600239;0.408534046629276;0.951153366470626;0.721466566674714;0.601657924459306;0.841275208890122;0.854320693360317;0.797195431980965;0.632331542787502;0.962059321174427;0.919178891135678;0.84658775696431;0.771511688461685;0.921663825466934;0.73882261289785;4472.0
4300034;2017;388770.0;32397.5;2526;210.5;0.632401076223425;0.669147625260236;0.609664;0.728631250520472;0.487737296444095;0.413475297434602;0.959244085754767;0.741420712982906;0.631508507401131;0.851332918564682;0.866381772438641;0.81551350683461;0.657954389366209;0.97307262430301;0.918328119174397;0.865303691306916;0.789527300447769;0.941080082166062;0.746734520548324;4412.0
4300034;2018;373146.0;31095.5;2196;183.0;0.647789458699525;0.669147625260236;0.609664;0.728631250520472;0.502573340201928;0.419436869335936;1.0;0.710782670424447;0.615674385348186;0.805890955500709;0.880722429059618;0.847825420235809;0.719321114569328;0.97632972590229;0.939171102859208;0.855170764083836;0.810050541263707;0.900290986903966;0.74643151939453;4487.0
4300034;2019;381882.0;31823.5;2077;173.08333333333334;0.67520199540773;0.754203328;0.745450624;0.762956032;0.52218204308403;0.424422610546887;1.0;0.689437738510405;0.581916245093988;0.796959231926822;0.880541575223355;0.82921241846916;0.679188227591216;0.979236609347103;0.95144575477169;0.860966552429215;0.826494583847525;0.895438521010906;0.74839376971383;4516.0
4300034;2020;395546.0;32962.166666666664;2125;177.08333333333334;0.7060572543176;0.754203328;0.745450624;0.762956032;0.639214113238333;0.430811576032065;1.0;0.699515632983332;0.604440289530392;0.794590976436272;0.842062324237455;0.753289902736512;0.526536835071612;0.980042970401412;0.905851866248224;0.86704520372763;0.854025611027882;0.880064796427378;0.749211737179463;4540.0
4300059;2013;210540.0;17545.0;1578;131.5;0.698019149437889;0.68366169408;0.62225066624;0.74507272192;0.964886658473412;0.406138591067973;0.737389654130168;0.937175027298284;0.918824211081486;0.955525843515081;0.897605027241024;0.875869455099386;0.779863297087137;0.971875613111634;0.972385267444807;0.844560359178881;0.774249182951037;0.914871535406724;0.844266401325732;3898.0
4300059;2014;255684.0;21307.0;1773;147.75;0.720384322380785;0.68366169408;0.62225066624;0.74507272192;0.966715117958809;0.415501413421204;0.815659064063129;0.908707938360652;0.908675738018114;0.908740138703189;0.904851838752619;0.886920418118686;0.807257275491031;0.96658356074634;0.973778330050082;0.853856768089089;0.765990998728828;0.941722537449351;0.844648033164685;3959.0
4300059;2015;248918.0;20743.166666666668;1696;141.33333333333334;0.781012740571084;0.739397188989128;0.709354666666667;0.769439711311589;1.0;0.422856176967422;0.961797596327788;0.923443816099233;0.926465496565741;0.920422135632725;0.904419193082138;0.868279323749374;0.774018683662968;0.96253996383578;0.984910579944108;0.860067675552932;0.774524078073337;0.945611273032528;0.869625249917485;3922.0
4300059;2016;229437.0;19119.75;1536;128.0;0.774819909784502;0.739397188989128;0.709354666666667;0.769439711311589;0.929004006190266;0.430878443958615;1.0;0.916619260765539;0.941037907065277;0.8922006144658;0.884893574870561;0.852993691962076;0.753598274680423;0.952389109243729;0.961894272847376;0.839792759802231;0.77857440790155;0.901011111702911;0.858777581806867;3977.0
