Municípios;Código;Ano;Bloco Educação\Ensino Fundamental\Anos Finais EF\Índice;Bloco Educação\Ensino Fundamental\Anos Iniciais EF\Índice;Bloco Educação\Ensino Fundamental\Índice;Bloco Educação\Ensino Médio\Índice;Bloco Educação\Escolaridade Adulta\Índice;Bloco Educação\Pré Escola\Índice;Bloco Educação\Índice;Bloco Renda\Apropriação da Renda\Índice;Bloco Renda\Geração da Renda\Índice;Bloco Renda\Índice;Bloco Saúde\Condições Gerais de Saúde\Mortes por Causas Evitáveis\Índice;Bloco Saúde\Condições Gerais de Saúde\Índice;Bloco Saúde\Condições Gerais de Saúde\Óbitos por Causas Mal Definidas\Índice;Bloco Saúde\Longevidade\Índice;Bloco Saúde\Saúde Materno Infantil\Consultas Pré Natal\Índice;Bloco Saúde\Saúde Materno Infantil\Mortalidade de Menores de 5 anos\Índice;Bloco Saúde\Saúde Materno Infantil\Índice;Bloco Saúde\Índice;Idese
AceguÃ¡;4300034.0;2013;0.5725633654656;0.72975296;0.6511581627328;0.56672332452627;0.39269708436102;1.0;0.65264464290502;0.59521796215843;0.81894869573758;0.707083328948;0.51057031038191;0.72185962285782;0.93314893533373;0.83129936834279;0.74281171626054;0.92140555737667;0.83210863681861;0.79508920933974;0.71827239373092
AceguÃ¡;4300034.0;2014;0.5725633654656;0.72975296;0.6511581627328;0.51928356107553;0.39846802211274;0.89123810541528;0.61503696283409;0.59934369712609;0.83934115242637;0.71934242477623;0.6422316476686;0.79557465687431;0.94891766608003;0.91012165109893;0.73231385759238;0.90372657605189;0.81802021682213;0.84123884159846;0.72520607640293
AceguÃ¡;4300034.0;2015;0.6266814572544;0.80104167661346;0.71386156693393;0.50852155552029;0.40268898267899;0.99607971362294;0.65528795468904;0.61030030596692;0.84959326186289;0.7299467839149;0.59669848745705;0.77647857882534;0.95625867019362;0.91537587993627;0.76313743098856;0.90049084103634;0.83181413601245;0.84122286492468;0.74215253450954
AceguÃ¡;4300034.0;2016;0.6266814572544;0.80104167661346;0.71386156693393;0.48917333460024;0.40853404662928;0.95115336647063;0.64068057865852;0.60165792445931;0.84127520889012;0.72146656667471;0.6323315427875;0.79719543198096;0.96205932117443;0.91917889113568;0.77151168846169;0.92166382546693;0.84658775696431;0.85432069336032;0.73882261289785
AceguÃ¡;4300034.0;2017;0.609664;0.72863125052047;0.66914762526024;0.48773729644409;0.4134752974346;0.95924408575477;0.63240107622342;0.63150850740113;0.85133291856468;0.74142071298291;0.65795438936621;0.81551350683461;0.97307262430301;0.9183281191744;0.78952730044777;0.94108008216606;0.86530369130692;0.86638177243864;0.74673452054832
AceguÃ¡;4300034.0;2018;0.609664;0.72863125052047;0.66914762526024;0.50257334020193;0.41943686933594;1.0;0.64778945869952;0.61567438534819;0.80589095550071;0.71078267042445;0.71932111456933;0.84782542023581;0.97632972590229;0.93917110285921;0.81005054126371;0.90029098690397;0.85517076408384;0.88072242905962;0.74643151939453
AceguÃ¡;4300034.0;2019;0.745450624;0.762956032;0.754203328;0.52218204308403;0.42442261054689;1.0;0.67520199540773;0.58191624509399;0.79695923192682;0.6894377385104;0.67918822759122;0.82921241846916;0.9792366093471;0.95144575477169;0.82649458384752;0.89543852101091;0.86096655242922;0.88054157522335;0.74839376971383
AceguÃ¡;4300034.0;2020;0.745450624;0.762956032;0.754203328;0.63921411323833;0.43081157603207;1.0;0.7060572543176;0.60444028953039;0.79459097643627;0.69951563298333;0.52653683507161;0.75328990273651;0.98004297040141;0.90585186624822;0.85402561102788;0.88006479642738;0.86704520372763;0.84206232423746;0.74921173717946
AceguÃ¡;4300034.0;2021;0.699946624;0.752886528;0.726416576;0.67477270421579;0.4346305245817;1.0;0.70895495119937;0.61392266051113;0.92875210542053;0.77133738296583;0.53221957908511;0.75637728535654;0.98053499162798;0.85734376179076;0.8563408419557;0.88021593043937;0.86827838619753;0.82733314444828;0.76920849287116
Agudo;4300109.0;2013;0.66378666624;0.76487052928;0.71432859776;0.55197849463077;0.40698131872516;0.81517489563719;0.62211582668828;0.73735513294054;0.62048165010413;0.67891839152233;0.581656819109;0.71697318368685;0.85228954826469;0.86432350768846;0.66044749978107;0.93521996495085;0.79783373236596;0.79304347458042;0.69802589759701
